time_s,rms,zcr,spectral_centroid_hz,spectral_spread_hz,spectral_rolloff_hz,spectral_flatness,spectral_flux,dominant_freq_hz,phase_lock,phase_gradient_var,attack_strength
0.0,0.00621095,0.034423828125,1081.7762064321466,2011.040340632239,1593.75,2.1929385e-05,0.0,269.53125,0.0,7.0395966,0.0
0.021333333333333333,0.00815607,0.039306640625,832.5096370519043,1627.684497019171,1101.5625,4.306131e-06,11.54555,375.0,0.5190157,9.404889,0.0
0.042666666666666665,0.009607818,0.043701171875,677.6533524947797,1181.2598163151433,1089.84375,1.3477427e-06,7.9168687,375.0,0.56116146,7.97569,0.10851324
0.064,0.011410179,0.01611328125,593.1720018362307,728.5940383718503,1019.53125,1.5926916e-07,4.607805,375.0,0.60368,8.504926,0.012978533
0.08533333333333333,0.011237882,0.015625,591.6867208640981,724.0582730855095,1066.40625,1.038438e-07,5.555415,375.0,0.61036044,8.449635,0.007185985
0.10666666666666667,0.011434049,0.013671875,583.3083952964458,722.4258132744394,925.78125,9.5465644e-08,5.635004,281.25,0.6658886,8.364544,0.0079333
0.128,0.011179042,0.013671875,595.1322713642692,733.1367215021726,1089.84375,8.687739e-08,5.4855094,281.25,0.70020723,8.635976,0.0077162716
0.14933333333333335,0.010380538,0.013916015625,617.2160847853269,759.663358631589,1089.84375,1.06937456e-07,4.9189696,281.25,0.6771742,8.925343,0.0090533625
0.17066666666666666,0.010067241,0.015380859375,626.9233137885213,773.1081308453959,1113.28125,1.14352325e-07,6.99363,281.25,0.5901622,8.17247,0.008809136
0.192,0.011224645,0.016357421875,580.4734876135201,709.8254464458173,996.09375,7.858229e-08,6.638621,152.34375,0.5903815,8.718699,0.012438446
0.21333333333333335,0.0131141795,0.015380859375,541.9944139221772,659.5186165963604,890.625,5.4589247e-08,9.378929,375.0,0.6624751,8.676241,0.018224612
0.23466666666666666,0.014385829,0.014404296875,531.1991823325959,666.070130642805,832.03125,5.110107e-08,5.966545,375.0,0.6939219,8.608027,0.013839587
